id,URL,party,timestamp,type,message,link,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
22,https://www.facebook.com/alternativefuerde/posts/2389821077714884,alternativefuerde,2019-04-29T15:55:00Z,photo,"++ Brüssel raubt Deutschlands Veto-Recht: Das große Ausplündern steht kurz bevor! ++  Heimlich, still und leise plant die EU ihren nächsten Coup zum Schaden Deutschlands! Müssen wir bald die Kassen der Sozialsysteme anderer Mitgliedsstaaten füllen?  Konkret geht es darum, Mehrheitsentscheidungen bei der Sozial- und Steuerpolitik einzuführen. Bisher musste hier mit Einstimmigkeit beschlossen werden - ein letzter Rettungsanker für unser Land, um sich mit einem Veto vor den Folgen einer unkontrollierten Beutementalität zu schützen. Deutschland als größte Volkswirtschaft innerhalb der europäischen Union ist die Zitrone schlechthin, die viele allzu gern auspressen möchten.   Nun will man seitens Brüssel unbemerkt von der Öffentlichkeit mit dem Wechsel von der Einstimmigkeit hin zum Mehrheitsbeschluss unser Land mundtot machen. Gerade die finanziell sensiblen Themen wie Sozial- und Steuerpolitik haben das Potenzial, große Umverteilungsmechanismen in Gang zu setzen - zu Lasten Deutschlands und seiner Steuerzahler! Müssen wir bald die Sozialkassen anderer Länder füllen? Die Gefahr war nie größer als heute.  Mit dem Brexit wurde die Achse der Nordländer innerhalb der EU, also die der Geberländer empfindlich geschwächt. Wir verfügen nicht länger über die nötigen Stimmanteile, um europäische Vorhaben notfalls zu blockieren. Gleichzeitig wächst das Gewicht der Mittelmeerstaaten, die allesamt klassische Nettoempfänger sind. Wie sich das auswächst, können wir aller Wahrscheinlichkeit nach bald selbst herausfinden.  Die EU ist das Gegenteil von Demokratie. Wenn Juncker ganz harmlos von ""Mehrheitsentscheidungen"" spricht, plant er nichts anderes, als den Bürgern wiederholt Sand in die Augen zu streuen. Diese wissen derweil nicht mehr, wie ihnen geschieht. Bitte gehen Sie am 26. Mai wählen. Unterstützen Sie die AfD und damit die konservativ-patriotischen Kräfte im Brüsseler Parlament mit Ihrer Stimme! Wir dürfen uns Brüssels Diktat nicht länger gefallen lassen!   https://www.welt.de/debatte/kommentare/article192580069/Kommissions-Plan-Ein-EU-Vorhaben-das-vor-allem-Deutschland-schadet.html  Hier finden Sie alle Infos zur Europawahl und unseren Kandidaten: ➡ https://www.afd.de/europawahl/  Jetzt Plakat spenden und bis 3. Mai Wunschort auswählen: ➡️ https://www.afd.de/plakat-spenden/",https://www.facebook.com/alternativefuerde/photos/a.542889462408064/2390216247675367/?type=3,760,4448,4267,1475,4,51,32,140,2565
23,https://www.facebook.com/DiePARTEI/posts/2167587569943926,DiePARTEI,2019-04-29T12:49:44Z,photo,"NA",https://www.facebook.com/MartinSonnebornEU/photos/a.665725823489212/2294198497308595/?type=3,12,18,509,417,19,1,72,0,0
24,https://www.facebook.com/Piratenpartei/posts/10157288752922783,Piratenpartei,2019-04-29T04:06:18Z,photo,"NA",https://www.facebook.com/PiratenHessen/photos/a.459570124061730/2369897793028944/?type=3,0,2,13,13,0,0,0,0,0
25,https://www.facebook.com/tierschutzpartei/posts/2301822149840296,tierschutzpartei,2019-04-29T10:04:00Z,link,"Bitte helft uns dabei, in Zukunft einfacher die nötigen Unterstützungsunterschriften zu bekommen. Bei Landtagswahlen müssen wir z. B. oft 2000 Unterschriften sammeln, nur um überhaupt antreten zu können. Das ist immer ein riesiger Kraftakt und bindet viele Ressourcen, die wir dann nicht mehr in unsere eigentliche Arbeit stecken können. Wenn ihr in Zukunft bereit wärt, eine Unterschrift für uns zu leisten, dann tragt euch bitte auf unserer Webseite ein, damit wir, wenn wieder eine Wahl ansteht, euch die nötigen Formulare inkl. Rückumschlag schicken können. Ihr zahlt keine Portokosten und es kostet euch nur 5 Minuten. Unsere Aktiven müssten dann aber vielleicht nicht mehr vor jeder Wahl wieder und wieder so viele Stunden und Tage auf der Straße unterwegs sein und Unterschriften sammeln. Wir sind euch auch sehr dankbar, wenn ihr diesen Post weiterverbreitet und wenn ihr Freunde und Bekannte darum bittet, sich auch einzutragen! http://www.tierschutzpartei.de/unterschreiben",http://www.tierschutzpartei.de/unterschreiben,37,115,172,169,3,0,0,0,0
26,https://www.facebook.com/SPD/posts/288553312072786,SPD,2019-04-29T09:02:51Z,video,"Pressekonferenz mit Lars Klingbeil, Katarina Barley und Udo Bullmann",https://www.facebook.com/SPD/videos/288553312072786/,174,67,312,239,30,1,23,2,17
27,https://www.facebook.com/DiePARTEI/posts/2167470999955583,DiePARTEI,2019-04-29T11:02:20Z,photo,Unserer Kandidierenden für das Europäische Parlament stellen sich vor. Heute: Listenplatz 139,https://www.facebook.com/Die.PARTEI.MG/photos/a.1714375072205137/1983375258638449/?type=3,15,8,244,199,14,0,31,0,0
28,https://www.facebook.com/CSU/posts/10157112524220688,CSU,2019-04-29T14:39:36Z,photo,100 Tage CSU-Parteivorsitzender Markus Söder,https://www.facebook.com/markus.soder.75/photos/a.708011275939219/2644256725647988/?type=3,56,12,223,125,2,1,71,0,24
29,https://www.facebook.com/CSU/posts/10157113028590688,CSU,2019-04-29T19:28:13Z,photo,"Anlässlich des 80. Geburtstags des CSU-Ehrenvorsitzenden Theo Waigel hat der CSU-Vorsitzende und Bayerische Ministerpräsident Markus Söder zu einem feierlichen Europa-Symposium eingeladen. Ehrengäste waren der ehemalige Bundespräsident Horst Köhler, der Spitzenkandidat zur Europawahl Manfred Weber und Klaus Regling, Geschäftsführender Direktor des European Stability Mechanism.",https://www.facebook.com/CSU/photos/a.311521140687/10157113024605688/?type=3,21,5,233,211,1,0,8,0,13
30,https://www.facebook.com/alternativefuerde/posts/2388940047802987,alternativefuerde,2019-04-29T07:00:30Z,photo,"++ Widerliche Tat in Oldenburg/Damm: 80-Jährige sexuell missbraucht ++  Welche Panik muss die 80-jährige Seniorin ergriffen haben, als sie plötzlich kurz vor 22 Uhr in ihrer Wohnung Geräusche und Licht wahrnahm? Doch das Martyrium stand ihr erst bevor.  Natürlich sah die Frau nach, entfernte sich aus ihrer Küche in den Flur. Bisher glaubte sie sich in ihrer Oldenburger Hochparterre-Wohnung sicher. Sie erschrak, als sie plötzlich auf einen Mann traf. Durch ein gewaltsam geöffnetes Fenster hatte er sich Zutritt verschafft. Er muss die 80-Jährige ausgekundschaftet haben. Ein leichtes Opfer vermutete er in ihr, sie wollte er ausrauben.  Ob und was genau gestohlen wurde, ist den laufenden Ermittlungen noch nicht zu entnehmen. Fest steht allerdings, dass der Mann die Seniorin brutal vergewaltigte, als sie ihm im Flur begegnete. In Todesangst ließ die Frau alles über sich ergehen. Während des Übergriffs wurde sie verletzt. Trotz des Schocks darüber, was ihr angetan wurde, erstattete sie umgehend Anzeige bei der Polizei. Ihre Täterbeschreibung klingt wohlvertraut: Es soll sich um einen etwa 20 Jahre alten und etwa 1,75 Meter großen Mann mit ""südländischem Erscheinungsbild"" gehandelt haben, schwarzes Haar, dunkle Augen - Sie wissen schon.  Es ist der helle Wahnsinn, wie inzwischen auch verstärkt unsere Seniorinnen und Senioren die Auswüchse von Merkels Multikulti-Deutschland erleiden müssen. Sie werden bespuckt, ihre Gehhilfen werden weggetreten. Sie werden beraubt, vergewaltigt und immer wieder kommen sie dabei ums Leben. Wie würdelos, im hochbetagten Alter auch noch das mitmachen zu müssen! Die Angst geht um, denn wir alle haben betagte Mütter, Väter, Großeltern und liebe, ältere Freunde, die wir in Gefahr wissen. Wann handelt endlich die Politik? Oder sind diejenigen, die uns aufgezogen haben, unserem Land Wohlstand durch ihre Schaffenskraft und ihren Fleiß schenkten, nur verzichtbare Opfer, die der Politik egal sind?  https://www.nwzonline.de/oldenburg/blaulicht/oldenburg-kriminalitaet-in-oldenburg-80-jaehrige-sexuell_a_50,4,2441315567.html",https://www.facebook.com/alternativefuerde/photos/a.542889462408064/2389655951064730/?type=3,1480,5370,6114,951,0,40,4,496,4623
31,https://www.facebook.com/CDU/posts/10156328860375415,CDU,2019-04-29T09:58:45Z,video,Da stimmt das Gesamtpaket. Deswegen ist es ganz einfach: Am 26. Mai #CDU und #CSU wählen! 🇪🇺 #unserEuropa #26MaiCDU   Mehr vom gemeinsamen Wahlkampfauftakt der Union im Video.,https://www.facebook.com/CDU/videos/2094857400810559/,274,76,448,302,14,0,112,1,19
